Celebrity,Current Ranking,Current Price,Avg. 21-Day Price,Avg. 21-Day Price/Current Price,All-Time High Price,All-Time High Price/Current Price,Days Since All-Time High Price,Gender,Age,Upcoming Birthday,U.S. Nationality,Living Status,Celebrity Bucks Recommendation,Last Update
Taylor Swift,1,723000,114000,0.158,3011000,4.165,1759,Female,30,Upcoming birthday,U.S. national,Alive,Buy,2020-12-11 11:23:17.899069
Donald Trump,2,409000,222000,0.543,6977000,17.059,1492,Male,74,No upcoming birthday,U.S. national,Alive,Buy,2020-12-11 11:38:18.213679
Kim Kardashian,3,296000,44000,0.149,2661000,8.99,2392,Female,40,No upcoming birthday,U.S. national,Alive,Buy,2020-12-11 11:43:25.665445
Ellen DeGeneres,4,250000,22000,0.088,3039000,12.156,2474,Female,62,No upcoming birthday,U.S. national,Alive,Buy,2020-12-11 11:43:26.962762
Perez Hilton,5,245000,109000,0.445,651000,2.657,658,NaN,NaN,NaN,NaN,Alive,Buy,2020-12-11 11:43:29.614332
George Clooney,6,182000,43000,0.236,1721000,9.456,2265,Male,59,No upcoming birthday,U.S. national,Alive,Buy,2020-12-11 11:43:31.067048
Matthew Morrison,7,165000,13000,0.079,274000,1.661,2243,Male,42,No upcoming birthday,U.S. national,Alive,Buy,2020-12-11 11:43:32.469663
Chris Evans,8,150000,15000,0.1,559000,3.727,2057,Male,39,No upcoming birthday,U.S. national,Alive,Buy,2020-12-11 11:43:33.828484
Johnny Depp,9,128000,25000,0.195,1918000,14.984,1659,Male,57,No upcoming birthday,U.S. national,Alive,Buy,2020-12-11 11:43:35.187534
Dolly Parton,10,126000,35000,0.278,504000,4.0,669,Female,74,No upcoming birthday,U.S. national,Alive,Buy,2020-12-11 11:43:36.463808
Ariana Grande,11,125000,24000,0.192,4003000,32.024,1297,Female,27,No upcoming birthday,U.S. national,Alive,Buy,2020-12-11 11:45:04.133528
Dionne Warwick,12,114000,15000,0.132,272000,2.386,1672,Female,79,Upcoming birthday,U.S. national,Alive,Buy,2020-12-11 11:45:05.428421
