Celebrity,Current Ranking,Current Price,Avg. 21-Day Price,Avg. 21-Day Price/Current Price,All-Time High Price,All-Time High Price/Current Price,Days Since All-Time High Price,Gender,Age,Upcoming Birthday,U.S. Nationality,Living Status,Celebrity Bucks Recommendation,Last Update
Taylor Swift,1,929000,126000,0.136,3011000,3.241,1759,Female,30,Upcoming birthday,U.S. national,Alive,Buy,29:23.1
Donald Trump,2,334000,225000,0.674,6977000,20.889,1492,Male,74,No upcoming birthday,U.S. national,Alive,Sell,29:24.3
Kim Kardashian,3,325000,46000,0.142,2661000,8.188,2392,Female,40,No upcoming birthday,U.S. national,Alive,Buy,29:25.6
Ellen DeGeneres,4,245000,22000,0.09,3039000,12.404,2474,Female,62,No upcoming birthday,U.S. national,Alive,Buy,29:26.9
Perez Hilton,5,238000,112000,0.471,651000,2.735,658,NaN,NaN,NaN,NaN,NaN,Hold,29:29.4
Shia LaBeouf,6,236000,13000,0.055,1206000,5.11,2358,Male,34,No upcoming birthday,U.S. national,Alive,Buy,29:30.7
Chris Evans,7,211000,17000,0.081,559000,2.649,2057,Male,39,No upcoming birthday,U.S. national,Alive,Buy,29:32.0
George Clooney,8,159000,44000,0.277,1721000,10.824,2265,Male,59,No upcoming birthday,U.S. national,Alive,Sell,29:33.7
Kelly Clarkson,9,148000,36000,0.243,716000,4.838,934,Female,38,No upcoming birthday,U.S. national,Alive,Buy,29:36.6
Dolly Parton,10,140000,37000,0.264,504000,3.6,669,Female,74,No upcoming birthday,U.S. national,Alive,Buy,29:37.9
Tom Hiddleston,11,139000,7000,0.05,1129000,8.122,1638,Male,39,No upcoming birthday,Foreign to U.S.,Alive,Buy,29:39.1
Lil Wayne,12,130000,17000,0.131,522000,4.015,2100,Male,38,No upcoming birthday,U.S. national,Alive,Buy,29:40.4
Tom Hanks,13,124000,14000,0.113,1296000,10.452,273,Male,64,No upcoming birthday,U.S. national,Alive,Buy,29:41.8
Meryl Streep,14,123000,23000,0.187,3000000,24.39,1431,Female,71,No upcoming birthday,U.S. national,Alive,Buy,29:43.1
Matthew Morrison,15,121000,13000,0.107,274000,2.264,2243,Male,42,No upcoming birthday,U.S. national,Alive,Buy,29:44.3
Britney Spears,16,120000,15000,0.125,1236000,10.3,1568,Female,39,No upcoming birthday,U.S. national,Alive,Buy,29:45.7
Wendy Williams,17,115000,19000,0.165,579000,5.035,1135,Female,56,No upcoming birthday,U.S. national,Alive,Buy,29:46.9
Hayden Christensen,18,112000,5000,0.045,287000,2.562,1177,Male,39,No upcoming birthday,Foreign to U.S.,Alive,Buy,29:48.2
Kid Cudi,19,112000,8000,0.071,287000,2.562,916,Male,36,No upcoming birthday,U.S. national,Alive,Buy,29:49.4
Cassie,20,109000,13000,0.119,619000,5.679,639,NaN,NaN,NaN,NaN,NaN,Buy,29:51.7
Dionne Warwick,21,103000,16000,0.155,272000,2.641,1672,Female,80,Upcoming birthday,U.S. national,Alive,Buy,29:53.1
Harrison Ford,22,102000,6000,0.059,1528000,14.98,2106,Male,78,No upcoming birthday,U.S. national,Alive,Buy,29:54.3
Christian Bale,23,90000,5000,0.056,482000,5.356,2228,Male,46,No upcoming birthday,Foreign to U.S.,Alive,Buy,29:55.6
Kylie Jenner,24,89000,31000,0.348,360000,4.045,195,Female,23,No upcoming birthday,U.S. national,Alive,Buy,29:56.8
Sebastian Stan,25,86000,5000,0.058,125000,1.453,2044,Male,37,No upcoming birthday,Foreign to U.S.,Alive,Buy,29:58.1
Prince William,26,85000,33000,0.388,1311000,15.424,2049,NaN,NaN,NaN,NaN,NaN,Sell,30:00.4
Ryan Reynolds,27,85000,32000,0.376,1184000,13.929,1764,Male,44,No upcoming birthday,Foreign to U.S.,Alive,Buy,30:01.7
Khloe Kardashian,28,83000,22000,0.265,1502000,18.096,973,Female,36,No upcoming birthday,U.S. national,Alive,Buy,30:03.0
Seth Meyers,29,81000,7000,0.086,1257000,15.519,2298,Male,46,No upcoming birthday,U.S. national,Alive,Buy,30:04.4
Anthony Mackie,30,79000,6000,0.076,288000,3.646,2587,Male,41,No upcoming birthday,U.S. national,Alive,Buy,30:06.4
Kanye West,31,77000,20000,0.26,3100000,40.26,1763,Male,43,No upcoming birthday,U.S. national,Alive,Buy,30:07.8
Bob Odenkirk,32,76000,4000,0.053,178000,2.342,2078,Male,58,No upcoming birthday,U.S. national,Alive,Buy,30:09.1
Jennifer Lopez,33,75000,37000,0.493,1507000,20.093,311,Female,51,No upcoming birthday,U.S. national,Alive,Hold,30:10.5
Emily Blunt,34,74000,7000,0.095,445000,6.014,2032,Female,37,No upcoming birthday,Foreign to U.S.,Alive,Sell,30:11.8
Carrie Ann Inaba,35,73000,6000,0.082,158000,2.164,1457,Female,52,No upcoming birthday,U.S. national,Alive,Buy,30:13.0
Jimmy Fallon,36,71000,12000,0.169,1670000,23.521,2487,Male,46,No upcoming birthday,U.S. national,Alive,Buy,30:14.3
Ariana Grande,37,70000,25000,0.357,4003000,57.186,1297,Female,27,No upcoming birthday,U.S. national,Alive,Sell,30:15.6
Elizabeth Olsen,38,68000,4000,0.059,263000,3.868,2464,Female,31,No upcoming birthday,U.S. national,Alive,Buy,30:16.9
Billie Eilish,39,67000,30000,0.448,1108000,16.537,318,Female,18,Upcoming birthday,U.S. national,Alive,Hold,30:19.1
Johnny Depp,40,67000,25000,0.373,1918000,28.627,1659,Male,57,No upcoming birthday,U.S. national,Alive,Sell,30:20.4
Chris Hemsworth,41,67000,15000,0.224,783000,11.687,2213,Male,37,No upcoming birthday,Foreign to U.S.,Alive,Buy,30:21.6
Keanu Reeves,42,65000,6000,0.092,456000,7.015,2240,Male,56,No upcoming birthday,Foreign to U.S.,Alive,Buy,30:23.0
Rihanna,43,65000,24000,0.369,1496000,23.015,1564,Female,32,No upcoming birthday,Foreign to U.S.,Alive,Hold,30:24.6
Kate Middleton,44,64000,31000,0.484,1263000,19.734,2049,NaN,NaN,NaN,NaN,NaN,Sell,30:26.9
Jay-Z,45,64000,11000,0.172,1009000,15.766,1047,Male,51,No upcoming birthday,U.S. national,Alive,Buy,30:28.7
Hailee Steinfeld,46,63000,11000,0.175,237000,3.762,1317,Female,24,Upcoming birthday,U.S. national,Alive,Hold,30:29.9
Joe Manganiello,47,62000,9000,0.145,884000,14.258,1844,Male,43,No upcoming birthday,U.S. national,Alive,Hold,30:31.0
Diego Luna,48,61000,5000,0.082,187000,3.066,763,Male,40,No upcoming birthday,Foreign to U.S.,Alive,Buy,30:32.3
Ewan McGregor,49,61000,3000,0.049,264000,4.328,1416,Male,49,No upcoming birthday,Foreign to U.S.,Alive,Buy,30:33.6
Amy Adams,50,60000,12000,0.2,763000,12.717,2523,Female,46,No upcoming birthday,Foreign to U.S.,Alive,Buy,30:34.9
Whoopi Goldberg,51,59000,6000,0.102,400000,6.78,1746,Female,65,No upcoming birthday,U.S. national,Alive,Buy,30:36.3
Brian Baumgartner,52,58000,3000,0.052,213000,3.672,2419,Male,48,No upcoming birthday,U.S. national,Alive,Buy,30:37.5
Mariah Carey,53,57000,33000,0.579,1119000,19.632,1438,Female,50,No upcoming birthday,U.S. national,Alive,Hold,30:39.3
Larsa Pippen,54,57000,27000,0.474,345000,6.053,30,NaN,NaN,NaN,NaN,NaN,Hold,30:43.3
Paul Bettany,55,56000,10000,0.179,262000,4.679,2498,Male,49,No upcoming birthday,Foreign to U.S.,Alive,Buy,30:44.6
Michael Douglas,56,56000,4000,0.071,759000,13.554,2523,Male,76,No upcoming birthday,U.S. national,Alive,Hold,30:45.9
Dave Grohl,57,56000,6000,0.107,497000,8.875,2007,Male,51,No upcoming birthday,U.S. national,Alive,Buy,30:47.2
Prince Harry,58,55000,35000,0.636,4477000,81.4,936,NaN,NaN,NaN,NaN,NaN,Buy,30:49.7
Gwyneth Paltrow,59,54000,10000,0.185,1852000,34.296,2451,Female,48,No upcoming birthday,U.S. national,Alive,Hold,30:51.0
Bill Belichick,60,54000,4000,0.074,193000,3.574,675,NaN,NaN,NaN,NaN,NaN,Buy,30:53.4
Andy Samberg,61,54000,6000,0.111,1207000,22.352,1908,Male,42,No upcoming birthday,U.S. national,Alive,Buy,30:54.7
Kris Jenner,62,54000,10000,0.185,644000,11.926,1861,NaN,NaN,NaN,NaN,NaN,Buy,30:57.1
Natalie Portman,63,54000,6000,0.111,474000,8.778,2590,Female,39,No upcoming birthday,Foreign to U.S.,Alive,Hold,30:58.5
Beyonce,64,52000,11000,0.212,1871000,35.981,1397,NaN,NaN,NaN,NaN,NaN,Buy,31:01.0
Rachel McAdams,65,51000,3000,0.059,377000,7.392,2333,Female,42,No upcoming birthday,Foreign to U.S.,Alive,Buy,31:02.3
Olivia Cooke,66,50000,5000,0.1,157000,3.14,1926,Female,26,No upcoming birthday,Foreign to U.S.,Alive,Buy,31:03.5
Morgan Stewart,67,49000,3000,0.061,74000,1.51,158,NaN,NaN,NaN,NaN,NaN,Buy,31:06.0
Blake Lively,68,48000,5000,0.104,675000,14.062,2058,Female,33,No upcoming birthday,U.S. national,Alive,Buy,31:07.2
Naya Rivera,69,48000,10000,0.208,2126000,44.292,149,Female,33,No upcoming birthday,U.S. national,Alive,Hold,31:08.4
Kobe Bryant,70,47000,13000,0.277,6020000,128.085,318,Male,41,No upcoming birthday,U.S. national,Dead,Hold,31:09.7
Miley Cyrus,71,47000,61000,1.298,3146000,66.936,1928,Female,28,No upcoming birthday,U.S. national,Alive,Sell,31:11.0
Emma Stone,72,46000,11000,0.239,1578000,34.304,1382,Female,32,No upcoming birthday,U.S. national,Alive,Hold,31:12.2
Heidi Klum,73,46000,8000,0.174,639000,13.891,2596,Female,47,No upcoming birthday,Foreign to U.S.,Alive,Buy,31:13.5
Prince Charles,74,46000,24000,0.522,737000,16.022,260,Male,72,No upcoming birthday,Foreign to U.S.,Alive,Hold,31:14.8
LeBron James,75,46000,18000,0.391,553000,12.022,892,Male,35,No upcoming birthday,U.S. national,Alive,Hold,31:16.0
Drew Barrymore,76,46000,11000,0.239,683000,14.848,1713,Female,45,No upcoming birthday,U.S. national,Alive,Hold,31:17.4
Meghan Markle,77,46000,46000,1,5529000,120.196,936,Female,39,No upcoming birthday,U.S. national,Alive,Hold,31:18.7
Kathryn Newton,78,45000,5000,0.111,98000,2.178,29,Female,23,No upcoming birthday,U.S. national,Alive,Buy,31:19.9
Julia Roberts,79,45000,4000,0.089,674000,14.978,2474,Female,53,No upcoming birthday,U.S. national,Alive,Buy,31:21.3
Jamie Foxx,80,45000,6000,0.133,625000,13.889,1786,Male,52,Upcoming birthday,U.S. national,Alive,Hold,31:22.6
Stephen Colbert,81,45000,14000,0.311,1773000,39.4,2435,Male,56,No upcoming birthday,U.S. national,Alive,Buy,31:23.8
Rosario Dawson,82,44000,14000,0.318,221000,5.023,2199,Female,41,No upcoming birthday,U.S. national,Alive,Buy,31:25.1
Steve McQueen,83,44000,9000,0.205,770000,17.5,2474,Male,50,No upcoming birthday,U.S. national,Dead,Hold,31:26.5
Nicole Kidman,84,43000,28000,0.651,923000,21.465,1179,Female,53,No upcoming birthday,U.S. national,Alive,Hold,31:27.8
Mark Ruffalo,85,42000,9000,0.214,399000,9.5,2067,Male,53,No upcoming birthday,U.S. national,Alive,Buy,31:29.1
